"County","FIPS","Year","Race","Type","Measure Type","Variable","Value"
"Connecticut","09","2004-2008","Hispanic or Latino","Fetal","Number","Fetal Mortality",257
"Connecticut","09","2004-2008","Hispanic or Latino","Infant","Number","Fetal Mortality",296
"Connecticut","09","2004-2008","Other","Fetal","Number","Fetal Mortality",57
"Connecticut","09","2004-2008","Other","Infant","Number","Fetal Mortality",53
"Connecticut","09","2004-2008","White","Fetal","Number","Fetal Mortality",798
"Connecticut","09","2004-2008","White","Infant","Number","Fetal Mortality",762
"Connecticut","09","2005-2009","All","Fetal","Number","Fetal Mortality",1098
"Connecticut","09","2005-2009","All","Fetal","Rate","Fetal Mortality",5.4
"Connecticut","09","2005-2009","All","Infant","Number","Fetal Mortality",1225
"Connecticut","09","2005-2009","All","Infant","Rate","Fetal Mortality",6
"Connecticut","09","2005-2009","All","Neonatal","Number","Fetal Mortality",921
"Connecticut","09","2005-2009","All","Neonatal","Rate","Fetal Mortality",4.5
"Connecticut","09","2005-2009","All","Postneonatal","Number","Fetal Mortality",304
"Connecticut","09","2005-2009","All","Postneonatal","Rate","Fetal Mortality",1.5
"Connecticut","09","2005-2009","Black or African American","Fetal","Number","Fetal Mortality",282
"Connecticut","09","2005-2009","Black or African American","Infant","Number","Fetal Mortality",348
"Connecticut","09","2005-2009","Hispanic or Latino","Fetal","Number","Fetal Mortality",247
"Connecticut","09","2005-2009","Hispanic or Latino","Infant","Number","Fetal Mortality",296
"Connecticut","09","2005-2009","Other","Fetal","Number","Fetal Mortality",58
"Connecticut","09","2005-2009","Other","Infant","Number","Fetal Mortality",49
"Connecticut","09","2005-2009","White","Fetal","Number","Fetal Mortality",748
"Connecticut","09","2005-2009","White","Infant","Number","Fetal Mortality",747
"Connecticut","09","2006-2010","All","Fetal","Number","Fetal Mortality",1052
"Connecticut","09","2006-2010","All","Fetal","Rate","Fetal Mortality",5.2
"Connecticut","09","2006-2010","All","Infant","Number","Fetal Mortality",1184
"Connecticut","09","2006-2010","All","Infant","Rate","Fetal Mortality",5.9
"Connecticut","09","2006-2010","All","Neonatal","Number","Fetal Mortality",900
"Connecticut","09","2006-2010","All","Neonatal","Rate","Fetal Mortality",4.5
"Connecticut","09","2006-2010","All","Postneonatal","Number","Fetal Mortality",284
"Connecticut","09","2006-2010","All","Postneonatal","Rate","Fetal Mortality",1.4
"Connecticut","09","2006-2010","Black or African American","Fetal","Number","Fetal Mortality",272
"Connecticut","09","2006-2010","Black or African American","Infant","Number","Fetal Mortality",342
"Connecticut","09","2006-2010","Hispanic or Latino","Fetal","Number","Fetal Mortality",224
"Connecticut","09","2006-2010","Hispanic or Latino","Infant","Number","Fetal Mortality",298
"Connecticut","09","2006-2010","Other","Fetal","Number","Fetal Mortality",64
"Connecticut","09","2006-2010","Other","Infant","Number","Fetal Mortality",51
"Connecticut","09","2006-2010","White","Fetal","Number","Fetal Mortality",705
"Connecticut","09","2006-2010","White","Infant","Number","Fetal Mortality",733
"Connecticut","09","2007-2011","All","Fetal","Number","Fetal Mortality",1029
"Connecticut","09","2007-2011","All","Fetal","Rate","Fetal Mortality",5.2
"Connecticut","09","2007-2011","All","Infant","Number","Fetal Mortality",1121
"Connecticut","09","2007-2011","All","Infant","Rate","Fetal Mortality",5.7
"Connecticut","09","2007-2011","All","Neonatal","Number","Fetal Mortality",839
"Connecticut","09","2007-2011","All","Neonatal","Rate","Fetal Mortality",4.3
"Connecticut","09","2007-2011","All","Postneonatal","Number","Fetal Mortality",282
"Connecticut","09","2007-2011","All","Postneonatal","Rate","Fetal Mortality",1.4
"Connecticut","09","2007-2011","Black or African American","Fetal","Number","Fetal Mortality",267
"Connecticut","09","2007-2011","Black or African American","Infant","Number","Fetal Mortality",315
"Connecticut","09","2007-2011","Hispanic or Latino","Fetal","Number","Fetal Mortality",211
"Connecticut","09","2007-2011","Hispanic or Latino","Infant","Number","Fetal Mortality",287
"Connecticut","09","2007-2011","Other","Fetal","Number","Fetal Mortality",69
"Connecticut","09","2007-2011","Other","Infant","Number","Fetal Mortality",48
"Connecticut","09","2007-2011","White","Fetal","Number","Fetal Mortality",682
"Connecticut","09","2007-2011","White","Infant","Number","Fetal Mortality",703
"Connecticut","09","2008-2012","All","Fetal","Number","Fetal Mortality",1002
"Connecticut","09","2008-2012","All","Fetal","Rate","Fetal Mortality",5.2
"Connecticut","09","2008-2012","All","Infant","Number","Fetal Mortality",1038
"Connecticut","09","2008-2012","All","Infant","Rate","Fetal Mortality",5.4
"Connecticut","09","2008-2012","All","Neonatal","Number","Fetal Mortality",778
"Connecticut","09","2008-2012","All","Neonatal","Rate","Fetal Mortality",4.1
"Connecticut","09","2008-2012","All","Postneonatal","Number","Fetal Mortality",260
"Connecticut","09","2008-2012","All","Postneonatal","Rate","Fetal Mortality",1.4
"Connecticut","09","2008-2012","Black or African American","Fetal","Number","Fetal Mortality",256
"Connecticut","09","2008-2012","Black or African American","Infant","Number","Fetal Mortality",309
"Connecticut","09","2008-2012","Hispanic or Latino","Fetal","Number","Fetal Mortality",228
"Connecticut","09","2008-2012","Hispanic or Latino","Infant","Number","Fetal Mortality",288
"Connecticut","09","2008-2012","Other","Fetal","Number","Fetal Mortality",78
"Connecticut","09","2008-2012","Other","Infant","Number","Fetal Mortality",40
"Connecticut","09","2008-2012","White","Fetal","Number","Fetal Mortality",657
"Connecticut","09","2008-2012","White","Infant","Number","Fetal Mortality",636
"Connecticut","09","2009-2013","All","Fetal","Number","Fetal Mortality",911
"Connecticut","09","2009-2013","All","Fetal","Rate","Fetal Mortality",4.9
"Connecticut","09","2009-2013","All","Infant","Number","Fetal Mortality",967
"Connecticut","09","2009-2013","All","Infant","Rate","Fetal Mortality",5.2
"Connecticut","09","2009-2013","All","Neonatal","Number","Fetal Mortality",716
"Connecticut","09","2009-2013","All","Neonatal","Rate","Fetal Mortality",3.8
"Connecticut","09","2009-2013","All","Postneonatal","Number","Fetal Mortality",251
"Connecticut","09","2009-2013","All","Postneonatal","Rate","Fetal Mortality",1.4
"Connecticut","09","2009-2013","Black or African American","Fetal","Number","Fetal Mortality",224
"Connecticut","09","2009-2013","Black or African American","Infant","Number","Fetal Mortality",280
"Connecticut","09","2009-2013","Hispanic or Latino","Fetal","Number","Fetal Mortality",208
"Connecticut","09","2009-2013","Hispanic or Latino","Infant","Number","Fetal Mortality",280
"Connecticut","09","2009-2013","Other","Fetal","Number","Fetal Mortality",73
"Connecticut","09","2009-2013","Other","Infant","Number","Fetal Mortality",25
"Connecticut","09","2009-2013","White","Fetal","Number","Fetal Mortality",607
"Connecticut","09","2009-2013","White","Infant","Number","Fetal Mortality",609
"Connecticut","09","2010-2014","All","Fetal","Number","Fetal Mortality",931
"Connecticut","09","2010-2014","All","Fetal","Rate","Fetal Mortality",5.1
"Connecticut","09","2010-2014","All","Infant","Number","Fetal Mortality",933
"Connecticut","09","2010-2014","All","Infant","Rate","Fetal Mortality",5.1
"Connecticut","09","2010-2014","All","Neonatal","Number","Fetal Mortality",683
"Connecticut","09","2010-2014","All","Neonatal","Rate","Fetal Mortality",3.7
"Connecticut","09","2010-2014","All","Postneonatal","Number","Fetal Mortality",250
"Connecticut","09","2010-2014","All","Postneonatal","Rate","Fetal Mortality",1.4
"Connecticut","09","2010-2014","Black or African American","Fetal","Number","Fetal Mortality",231
"Connecticut","09","2010-2014","Black or African American","Infant","Number","Fetal Mortality",262
"Connecticut","09","2010-2014","Hispanic or Latino","Fetal","Number","Fetal Mortality",208
"Connecticut","09","2010-2014","Hispanic or Latino","Infant","Number","Fetal Mortality",282
"Connecticut","09","2010-2014","Other","Fetal","Number","Fetal Mortality",76
"Connecticut","09","2010-2014","Other","Infant","Number","Fetal Mortality",28
"Connecticut","09","2010-2014","White","Fetal","Number","Fetal Mortality",614
"Connecticut","09","2010-2014","White","Infant","Number","Fetal Mortality",588
"Fairfield County","09001","1999-2003","All","Fetal","Number","Fetal Mortality",332
"Fairfield County","09001","1999-2003","All","Fetal","Rate","Fetal Mortality",5.4
"Fairfield County","09001","1999-2003","All","Infant","Number","Fetal Mortality",316
"Fairfield County","09001","1999-2003","All","Infant","Rate","Fetal Mortality",5.2
"Fairfield County","09001","1999-2003","All","Neonatal","Number","Fetal Mortality",227
"Fairfield County","09001","1999-2003","All","Neonatal","Rate","Fetal Mortality",3.7
"Fairfield County","09001","1999-2003","All","Postneonatal","Number","Fetal Mortality",89
"Fairfield County","09001","1999-2003","All","Postneonatal","Rate","Fetal Mortality",1.4
"Fairfield County","09001","1999-2003","Black or African American","Fetal","Number","Fetal Mortality",77
"Fairfield County","09001","1999-2003","Black or African American","Infant","Number","Fetal Mortality",97
"Fairfield County","09001","1999-2003","Hispanic or Latino","Fetal","Number","Fetal Mortality",77
"Fairfield County","09001","1999-2003","Hispanic or Latino","Infant","Number","Fetal Mortality",67
"Fairfield County","09001","1999-2003","Other","Fetal","Number","Fetal Mortality",20
"Fairfield County","09001","1999-2003","Other","Infant","Number","Fetal Mortality",7
"Fairfield County","09001","1999-2003","White","Fetal","Number","Fetal Mortality",230
"Fairfield County","09001","1999-2003","White","Infant","Number","Fetal Mortality",186
"Fairfield County","09001","2000-2004","All","Fetal","Number","Fetal Mortality",337
"Fairfield County","09001","2000-2004","All","Fetal","Rate","Fetal Mortality",5.6
"Fairfield County","09001","2000-2004","All","Infant","Number","Fetal Mortality",291
"Fairfield County","09001","2000-2004","All","Infant","Rate","Fetal Mortality",4.8
"Fairfield County","09001","2000-2004","All","Neonatal","Number","Fetal Mortality",208
"Fairfield County","09001","2000-2004","All","Neonatal","Rate","Fetal Mortality",3.4
"Fairfield County","09001","2000-2004","All","Postneonatal","Number","Fetal Mortality",83
"Fairfield County","09001","2000-2004","All","Postneonatal","Rate","Fetal Mortality",1.4
"Fairfield County","09001","2000-2004","Black or African American","Fetal","Number","Fetal Mortality",86
"Fairfield County","09001","2000-2004","Black or African American","Infant","Number","Fetal Mortality",91
"Fairfield County","09001","2000-2004","Hispanic or Latino","Fetal","Number","Fetal Mortality",78
"Fairfield County","09001","2000-2004","Hispanic or Latino","Infant","Number","Fetal Mortality",59
"Fairfield County","09001","2000-2004","Other","Fetal","Number","Fetal Mortality",17
"Fairfield County","09001","2000-2004","Other","Infant","Number","Fetal Mortality",7
"Fairfield County","09001","2000-2004","White","Fetal","Number","Fetal Mortality",229
"Fairfield County","09001","2000-2004","White","Infant","Number","Fetal Mortality",167
"Fairfield County","09001","2001-2005","All","Fetal","Number","Fetal Mortality",340
"Fairfield County","09001","2001-2005","All","Fetal","Rate","Fetal Mortality",5.7
"Fairfield County","09001","2001-2005","All","Infant","Number","Fetal Mortality",289
"Fairfield County","09001","2001-2005","All","Infant","Rate","Fetal Mortality",4.8
"Fairfield County","09001","2001-2005","All","Neonatal","Number","Fetal Mortality",206
"Fairfield County","09001","2001-2005","All","Neonatal","Rate","Fetal Mortality",3.5
"Fairfield County","09001","2001-2005","All","Postneonatal","Number","Fetal Mortality",83
"Fairfield County","09001","2001-2005","All","Postneonatal","Rate","Fetal Mortality",1.4
"Fairfield County","09001","2001-2005","Black or African American","Fetal","Number","Fetal Mortality",91
"Fairfield County","09001","2001-2005","Black or African American","Infant","Number","Fetal Mortality",86
"Fairfield County","09001","2001-2005","Hispanic or Latino","Fetal","Number","Fetal Mortality",85
"Fairfield County","09001","2001-2005","Hispanic or Latino","Infant","Number","Fetal Mortality",67
"Fairfield County","09001","2001-2005","Other","Fetal","Number","Fetal Mortality",21
"Fairfield County","09001","2001-2005","Other","Infant","Number","Fetal Mortality",6
"Fairfield County","09001","2001-2005","White","Fetal","Number","Fetal Mortality",223
"Fairfield County","09001","2001-2005","White","Infant","Number","Fetal Mortality",171
"Fairfield County","09001","2002-2006","All","Fetal","Number","Fetal Mortality",344
"Fairfield County","09001","2002-2006","All","Fetal","Rate","Fetal Mortality",5.8
"Fairfield County","09001","2002-2006","All","Infant","Number","Fetal Mortality",284
"Fairfield County","09001","2002-2006","All","Infant","Rate","Fetal Mortality",4.8
"Fairfield County","09001","2002-2006","All","Neonatal","Number","Fetal Mortality",206
"Fairfield County","09001","2002-2006","All","Neonatal","Rate","Fetal Mortality",3.5
"Fairfield County","09001","2002-2006","All","Postneonatal","Number","Fetal Mortality",78
"Fairfield County","09001","2002-2006","All","Postneonatal","Rate","Fetal Mortality",1.3
"Fairfield County","09001","2002-2006","Black or African American","Fetal","Number","Fetal Mortality",93
"Fairfield County","09001","2002-2006","Black or African American","Infant","Number","Fetal Mortality",81
"Fairfield County","09001","2002-2006","Hispanic or Latino","Fetal","Number","Fetal Mortality",90
"Fairfield County","09001","2002-2006","Hispanic or Latino","Infant","Number","Fetal Mortality",71
"Fairfield County","09001","2002-2006","Other","Fetal","Number","Fetal Mortality",22
"Fairfield County","09001","2002-2006","Other","Infant","Number","Fetal Mortality",10
"Fairfield County","09001","2002-2006","White","Fetal","Number","Fetal Mortality",223
"Fairfield County","09001","2002-2006","White","Infant","Number","Fetal Mortality",172
"Fairfield County","09001","2003-2007","All","Fetal","Number","Fetal Mortality",319
"Fairfield County","09001","2003-2007","All","Fetal","Rate","Fetal Mortality",5.4
"Fairfield County","09001","2003-2007","All","Infant","Number","Fetal Mortality",253
"Fairfield County","09001","2003-2007","All","Infant","Rate","Fetal Mortality",4.3
"Fairfield County","09001","2003-2007","All","Neonatal","Number","Fetal Mortality",181
"Fairfield County","09001","2003-2007","All","Neonatal","Rate","Fetal Mortality",3.1
"Fairfield County","09001","2003-2007","All","Postneonatal","Number","Fetal Mortality",72
"Fairfield County","09001","2003-2007","All","Postneonatal","Rate","Fetal Mortality",1.2
"Fairfield County","09001","2003-2007","Black or African American","Fetal","Number","Fetal Mortality",86
"Fairfield County","09001","2003-2007","Black or African American","Infant","Number","Fetal Mortality",75
"Fairfield County","09001","2003-2007","Hispanic or Latino","Fetal","Number","Fetal Mortality",83
"Fairfield County","09001","2003-2007","Hispanic or Latino","Infant","Number","Fetal Mortality",71
"Fairfield County","09001","2003-2007","Other","Fetal","Number","Fetal Mortality",20
"Fairfield County","09001","2003-2007","Other","Infant","Number","Fetal Mortality",10
"Fairfield County","09001","2003-2007","White","Fetal","Number","Fetal Mortality",208
"Fairfield County","09001","2003-2007","White","Infant","Number","Fetal Mortality",152
"Fairfield County","09001","2004-2008","All","Fetal","Number","Fetal Mortality",291
"Fairfield County","09001","2004-2008","All","Fetal","Rate","Fetal Mortality",5
"Fairfield County","09001","2004-2008","All","Infant","Number","Fetal Mortality",251
"Fairfield County","09001","2004-2008","All","Infant","Rate","Fetal Mortality",4.3
"Fairfield County","09001","2004-2008","All","Neonatal","Number","Fetal Mortality",187
"Fairfield County","09001","2004-2008","All","Neonatal","Rate","Fetal Mortality",3.2
"Fairfield County","09001","2004-2008","All","Postneonatal","Number","Fetal Mortality",64
"Fairfield County","09001","2004-2008","All","Postneonatal","Rate","Fetal Mortality",1.1
"Fairfield County","09001","2004-2008","Black or African American","Fetal","Number","Fetal Mortality",72
"Fairfield County","09001","2004-2008","Black or African American","Infant","Number","Fetal Mortality",75
"Fairfield County","09001","2004-2008","Hispanic or Latino","Fetal","Number","Fetal Mortality",82
"Fairfield County","09001","2004-2008","Hispanic or Latino","Infant","Number","Fetal Mortality",73
"Fairfield County","09001","2004-2008","Other","Fetal","Number","Fetal Mortality",21
"Fairfield County","09001","2004-2008","Other","Infant","Number","Fetal Mortality",13
"Fairfield County","09001","2004-2008","White","Fetal","Number","Fetal Mortality",195
"Fairfield County","09001","2004-2008","White","Infant","Number","Fetal Mortality",148
"Fairfield County","09001","2005-2009","All","Fetal","Number","Fetal Mortality",277
"Fairfield County","09001","2005-2009","All","Fetal","Rate","Fetal Mortality",4.9
"Fairfield County","09001","2005-2009","All","Infant","Number","Fetal Mortality",263
"Fairfield County","09001","2005-2009","All","Infant","Rate","Fetal Mortality",4.6
"Fairfield County","09001","2005-2009","All","Neonatal","Number","Fetal Mortality",199
"Fairfield County","09001","2005-2009","All","Neonatal","Rate","Fetal Mortality",3.5
"Fairfield County","09001","2005-2009","All","Postneonatal","Number","Fetal Mortality",64
"Fairfield County","09001","2005-2009","All","Postneonatal","Rate","Fetal Mortality",1.1
"Fairfield County","09001","2005-2009","Black or African American","Fetal","Number","Fetal Mortality",68
"Fairfield County","09001","2005-2009","Black or African American","Infant","Number","Fetal Mortality",80
"Fairfield County","09001","2005-2009","Hispanic or Latino","Fetal","Number","Fetal Mortality",83
"Fairfield County","09001","2005-2009","Hispanic or Latino","Infant","Number","Fetal Mortality",79
"Fairfield County","09001","2005-2009","Other","Fetal","Number","Fetal Mortality",23
"Fairfield County","09001","2005-2009","Other","Infant","Number","Fetal Mortality",13
"Fairfield County","09001","2005-2009","White","Fetal","Number","Fetal Mortality",183
"Fairfield County","09001","2005-2009","White","Infant","Number","Fetal Mortality",156
"Fairfield County","09001","2006-2010","All","Fetal","Number","Fetal Mortality",269
"Fairfield County","09001","2006-2010","All","Fetal","Rate","Fetal Mortality",4.8
"Fairfield County","09001","2006-2010","All","Infant","Number","Fetal Mortality",260
"Fairfield County","09001","2006-2010","All","Infant","Rate","Fetal Mortality",4.7
"Fairfield County","09001","2006-2010","All","Neonatal","Number","Fetal Mortality",200
"Fairfield County","09001","2006-2010","All","Neonatal","Rate","Fetal Mortality",3.6
"Fairfield County","09001","2006-2010","All","Postneonatal","Number","Fetal Mortality",60
"Fairfield County","09001","2006-2010","All","Postneonatal","Rate","Fetal Mortality",1.1
"Fairfield County","09001","2006-2010","Black or African American","Fetal","Number","Fetal Mortality",70
"Fairfield County","09001","2006-2010","Black or African American","Infant","Number","Fetal Mortality",81
"Fairfield County","09001","2006-2010","Hispanic or Latino","Fetal","Number","Fetal Mortality",71
"Fairfield County","09001","2006-2010","Hispanic or Latino","Infant","Number","Fetal Mortality",78
"Fairfield County","09001","2006-2010","Other","Fetal","Number","Fetal Mortality",22
"Fairfield County","09001","2006-2010","Other","Infant","Number","Fetal Mortality",16
"Fairfield County","09001","2006-2010","White","Fetal","Number","Fetal Mortality",174
"Fairfield County","09001","2006-2010","White","Infant","Number","Fetal Mortality",150
"Fairfield County","09001","2007-2011","All","Fetal","Number","Fetal Mortality",276
"Fairfield County","09001","2007-2011","All","Fetal","Rate","Fetal Mortality",5.1
"Fairfield County","09001","2007-2011","All","Infant","Number","Fetal Mortality",241
"Fairfield County","09001","2007-2011","All","Infant","Rate","Fetal Mortality",4.5
"Fairfield County","09001","2007-2011","All","Neonatal","Number","Fetal Mortality",179
"Fairfield County","09001","2007-2011","All","Neonatal","Rate","Fetal Mortality",3.3
"Fairfield County","09001","2007-2011","All","Postneonatal","Number","Fetal Mortality",62
"Fairfield County","09001","2007-2011","All","Postneonatal","Rate","Fetal Mortality",1.1
"Fairfield County","09001","2007-2011","Black or African American","Fetal","Number","Fetal Mortality",84
"Fairfield County","09001","2007-2011","Black or African American","Infant","Number","Fetal Mortality",77
"Fairfield County","09001","2007-2011","Hispanic or Latino","Fetal","Number","Fetal Mortality",63
"Fairfield County","09001","2007-2011","Hispanic or Latino","Infant","Number","Fetal Mortality",77
"Fairfield County","09001","2007-2011","Other","Fetal","Number","Fetal Mortality",24
"Fairfield County","09001","2007-2011","Other","Infant","Number","Fetal Mortality",12
"Fairfield County","09001","2007-2011","White","Fetal","Number","Fetal Mortality",166
"Fairfield County","09001","2007-2011","White","Infant","Number","Fetal Mortality",141
"Fairfield County","09001","2008-2012","All","Fetal","Number","Fetal Mortality",277
"Fairfield County","09001","2008-2012","All","Fetal","Rate","Fetal Mortality",5.2
"Fairfield County","09001","2008-2012","All","Infant","Number","Fetal Mortality",227
"Fairfield County","09001","2008-2012","All","Infant","Rate","Fetal Mortality",4.3
"Fairfield County","09001","2008-2012","All","Neonatal","Number","Fetal Mortality",178
"Fairfield County","09001","2008-2012","All","Neonatal","Rate","Fetal Mortality",3.4
"Fairfield County","09001","2008-2012","All","Postneonatal","Number","Fetal Mortality",49
"Fairfield County","09001","2008-2012","All","Postneonatal","Rate","Fetal Mortality",0.9
"Fairfield County","09001","2008-2012","Black or African American","Fetal","Number","Fetal Mortality",81
"Fairfield County","09001","2008-2012","Black or African American","Infant","Number","Fetal Mortality",75
"Fairfield County","09001","2008-2012","Hispanic or Latino","Fetal","Number","Fetal Mortality",77
"Fairfield County","09001","2008-2012","Hispanic or Latino","Infant","Number","Fetal Mortality",78
"Fairfield County","09001","2008-2012","Other","Fetal","Number","Fetal Mortality",26
"Fairfield County","09001","2008-2012","Other","Infant","Number","Fetal Mortality",9
"Fairfield County","09001","2008-2012","White","Fetal","Number","Fetal Mortality",170
"Fairfield County","09001","2008-2012","White","Infant","Number","Fetal Mortality",129
"Fairfield County","09001","2009-2013","All","Fetal","Number","Fetal Mortality",267
"Fairfield County","09001","2009-2013","All","Fetal","Rate","Fetal Mortality",5.2
